POB,Kids,Married,FSES,YNatStat,EdArea,EdAchv,Occ,School,RelBack,SocBG,Region,AgeJoin,Cjoin,PlJoin,risk
110,,,0,1,6,4,3,4,0,3,3.5,,110,0,2
86,1,1,2,1,0,1,,2,1,0,1.3,,,,2
110,1,1,1,1,2,2,3,4,0,0,3.5,19,110,0,1
110,1,1,2,1,1,0,0,4,0,1,3.5,20,110,0,2
110,,,2,1,1,2,0,4,0,1,3.5,16,110,0,2
110,,,2,1,1,1,0,4,1,,3.5,30,110,0,2
110,0,1,2,1,1,4,0,4,1,0,3.5,27,110,0,2
133,1,1,1,2,2,6,0,4,1,3,3.5,18,133,0,2
133,1,1,1,2,1,4,0,4,1,3,3.5,20,133,0,2
133,0,0,0,2,1,4,0,4,1,0,3.5,18,133,0,2
133,1,1,1,2,1,6,0,4,1,3,3.5,21,98,1,2
133,,,1,1,2,6,0,4,1,,3.5,22,98,1,2
133,1,1,1,1,1,4,0,4,1,0,3.5,39,133,0,2
133,,,1,1,,,,4,1,,3.5,,133,0,2
133,,,1,1,,,,4,1,,3.5,,133,0,2
133,1,1,1,1,2,4,3,4,1,,3.5,,133,0,2
133,,,1,1,3,6,,4,0,3,3.5,18,98,1,2
133,0,1,1,1,2,4,0,4,1,0,3.5,20,133,0,2
86,,,1,1,,,,4,1,0,1.3,26,48,1,2
133,,,1,1,2,4,,4,1,0,3.5,,,,2
60,1,1,1,1,2,6,3,2,0,3,3.4,61,60,1,3
60,2,1,1,1,2,6,3,2,0,3,3.4,52,81,1,3
60,,1,1,1,2,6,1,4,1,0,3.4,25,60,1,3
103,0,1,1,2,2,4,3,2,1,0,3.4,26,1,1,2
60,1,1,1,1,2,2,3,1,0,0,3.4,29,81,1,3
60,1,1,1,1,2,4,3,2,0,0,3.4,30,81,1,3
71,1,1,1,1,,,,,,0,3.5,20,1,1,2
60,1,1,1,1,,,,2,0,0,3.4,24,81,1,2
60,1,1,1,1,2,6,1,2,0,0,3.4,18,81,1,2
60,1,1,1,1,6,4,3,4,1,0,3.4,21,60,0,2
60,1,1,1,1,1,4,0,2,0,2,3.4,31,81,1,2
60,1,2,1,1,1,4,0,4,1,0,3.4,30,81,1,2
60,1,1,1,1,0,2,3,2,1,0,3.4,18,98,1,2
81,1,1,1,1,6,4,3,4,2,0,3.4,33,81,0,2
60,1,1,1,1,2,2,3,4,0,0,3.4,26,60,0,2
60,1,1,1,1,1,4,3,2,0,0,3.4,20,81,1,2
103,,,1,1,,,,,,,3.4,19,1,1,2
114,,,1,1,1,4,0,4,1,0,3.4,29,114,0,2
81,,,0,2,4,4,3,4,1,0,3.4,29,114,1,2
114,,,1,3,4,4,3,4,1,0,3.4,30,114,0,2
81,,,1,2,4,6,1,4,1,0,3.4,20,1,1,2
60,1,1,1,1,1,4,0,2,0,0,3.4,,81,1,2
60,3,1,1,1,4,6,3,2,0,0,3.4,,81,1,2
81,1,1,1,1,4,4,3,4,1,0,3.4,33,81,0,2
60,,1,1,1,6,2,2,1,0,0,3.4,26,1,1,3
60,,,,1,0,0,2,0,,,3.4,23,81,1,2
80,5,2,1,3,5,5,3,4,0,0,3.4,28,80,0,3
60,,,,1,1,4,3,,,,3.4,23,81,1,2
60,,,0,1,4,6,1,4,1,,3.4,27,1,1,2
81,1,1,1,,5,8,3,1,0,0,3.4,29,81,0,3
114,,,1,1,4,6,0,4,1,0,3.4,39,114,0,2
60,,,,1,2,4,1,0,0,,3.4,18,60,0,2
60,1,1,1,1,1,4,1,4,0,0,3.4,20,1,1,2
81,,,1,1,4,6,,4,1,0,3.4,,,,2
81,,,1,1,4,6,,4,1,0,3.4,,,,2
114,0,0,1,3,2,2,0,0,0,0,3.4,17,81,1,2
114,0,0,1,3,2,6,0,2,0,0,3.4,17,81,1,2
60,,,1,1,2,4,0,2,0,0,3.4,23,60,0,2
81,,1,1,1,4,4,3,1,0,0,3.4,,,,2
114,1,1,1,1,,,,4,1,0,3.4,29,81,1,2
60,,,1,1,2,2,3,1,0,0,3.4,31,1,1,2
114,1,1,1,3,,,,,,0,3.4,,81,1,2
60,,,1,1,4,6,3,0,0,0,3.4,28,1,1,2
81,,,1,1,4,2,3,4,2,0,3.4,,,,2
60,,,1,1,4,4,3,4,1,0,3.4,29,1,1,3
60,1,1,1,1,2,6,3,2,1,0,3.4,28,1,1,2
60,,,1,1,1,4,0,2,0,0,3.4,18,60,0,2
114,,,0,2,1,4,0,4,1,0,3.4,26,114,0,2
114,,,1,1,5,3,1,4,2,0,3.4,,114,0,2
136,0,1,1,1,,,0,,2,0,4.2,45,8,1,2
8,1,1,1,1,1,4,0,4,2,0,5.1,27,8,0,2
60,,,1,1,4,6,1,4,1,0,3.4,31,119,1,2
3,,1,1,1,,,,4,1,,1.3,30,3,0,2
86,,,1,1,4,6,3,4,1,3,1.3,29,1,1,2
86,,1,1,1,4,6,3,4,1,3,1.3,31,1,1,2
86,,,1,3,,,,4,1,,1.3,26,47,1,2
3,,,1,3,,,,4,1,,1.3,25,47,1,1
86,,,1,3,2,4,,4,1,,1.3,22,48,1,1
47,,,2,2,1,4,0,4,1,1,4.4,19,47,0,1
47,,,2,2,1,4,0,4,1,1,4.4,19,47,0,1
86,,,1,3,4,6,1,4,1,0,1.3,31,47,1,1
86,,,1,3,4,6,1,4,1,0,1.3,23,47,1,1
86,,,1,3,4,6,1,4,1,0,1.3,22,47,1,1
47,,1,1,2,,,,4,1,0,4.4,24,47,0,1
47,1,1,1,2,4,4,1,4,1,0,4.4,23,47,0,1
47,0,0,1,2,1,4,0,4,1,0,4.4,20,47,0,1
86,,,1,3,4,6,,4,1,0,1.3,21,47,1,1
86,,,2,3,1,4,0,4,1,0,1.3,21,47,1,1
86,,,1,3,1,1,0,4,2,0,1.3,21,86,0,1
47,,1,0,3,1,1,0,4,2,0,4.4,26,47,1,1
3,,,0,3,1,1,0,4,2,0,1.3,26,3,1,1
3,,,,1,,,,4,2,,1.3,23,3,,2
3,,1,1,1,5,4,3,4,0,,1.3,25,3,1,2
3,,,1,1,2,4,1,4,2,,1.3,25,3,0,2
47,,,1,2,2,2,1,4,2,0,4.4,24,47,0,2
3,,1,1,1,1,1,,4,2,1,1.3,23,3,0,2
47,0,1,0,2,1,1,0,4,2,0,4.4,27,47,0,2
47,1,1,0,2,1,1,0,4,2,0,4.4,35,47,0,2
47,,,0,2,,,,4,2,,4.4,21,47,0,2
47,0,0,1,1,5,4,1,4,1,0,4.4,23,47,0,2
47,0,0,0,2,1,0,0,4,1,1,4.4,28,47,0,2
3,0,1,0,3,1,1,0,4,2,1,1.3,22,3,1,2
47,,,0,2,5,2,0,4,2,1,4.4,22,47,0,2
47,,,0,2,1,0,0,4,2,1,4.4,23,47,0,2
47,,,0,2,1,0,0,4,2,1,4.4,23,47,0,2
47,,,0,2,1,0,0,4,2,0,4.4,23,47,0,2
3,,,0,3,,,,4,2,,1.3,28,3,1,2
47,,,0,2,,,,4,2,,4.4,29,47,0,1
3,1,1,1,1,2,4,3,4,2,0,1.3,32,3,0,2
47,1,1,0,1,5,6,3,4,1,0,4.4,25,47,1,2
47,0,1,0,1,2,2,0,4,1,0,4.4,23,47,1,2
47,1,1,0,2,1,1,0,4,0,0,4.4,24,47,0,2
47,1,1,0,2,1,1,0,4,2,1,4.4,26,47,0,2
47,,,0,2,1,1,0,4,2,0,4.4,27,47,0,2
47,0,1,0,2,5,2,0,4,2,0,4.4,24,16,1,1
47,1,1,0,2,1,0,0,4,2,0,4.4,29,47,0,2
47,0,1,0,2,1,0,0,4,2,0,4.4,18,47,0,1
47,,,0,2,1,1,0,4,2,0,4.4,25,47,0,2
47,0,0,0,2,1,1,0,4,2,0,4.4,24,47,0,2
3,1,1,1,1,5,2,1,4,2,0,1.3,31,1,1,2
86,1,1,0,1,5,4,1,4,2,0,1.3,30,24,1,2
86,1,1,1,1,5,4,1,4,2,0,1.3,27,24,1,2
3,1,1,,1,,,0,4,2,,1.3,21,16,1,2
86,1,1,,1,2,2,0,4,2,1,1.3,26,1,1,2
132,,1,0,1,1,0,0,4,2,,1.3,47,24,1,2
3,0,0,1,1,1,1,0,4,2,1,1.3,31,24,1,2
3,0,0,1,1,,,,4,2,1,1.3,29,24,1,2
3,1,1,1,1,4,2,0,4,2,1,1.3,31,24,1,2
3,0,0,1,1,,,0,4,2,1,1.3,31,24,1,2
3,0,0,1,1,4,2,0,4,2,1,1.3,30,24,1,2
3,,,1,1,,2,0,4,2,1,1.3,32,24,1,2
3,0,0,1,1,,,1,4,2,1,1.3,31,24,1,2
3,0,0,1,1,4,4,0,4,2,1,1.3,31,137,1,2
3,,,,1,,,,,,,1.3,,,,2
3,1,1,1,1,4,2,0,4,2,0,1.3,26,136,1,1
3,,,1,1,,,,4,2,1,1.3,27,136,1,1
3,0,0,1,1,1,0,0,4,2,1,1.3,23,48,1,2
3,,,1,1,,,0,4,2,,1.3,25,3,0,2
3,0,0,1,1,4,2,0,4,2,0,1.3,21,136,1,2
3,,,,,,,,4,2,,1.3,,,,3
3,,,,,,,,4,2,,1.3,,,,2
3,,,,1,,,,4,2,,1.3,,,,2
,,,,,,,,,,,,,48,1,1
47,,1,1,2,1,1,0,4,2,1,4.4,20,16,1,2
3,,,1,1,,,,4,2,,1.3,27,16,1,2
3,,1,1,1,4,2,0,4,2,,1.3,19,3,0,2
47,,1,0,2,5,3,0,4,2,,4.4,21,47,0,2
47,0,0,0,2,1,0,0,4,2,0,4.4,19,47,0,1
47,0,0,0,2,1,0,0,4,2,0,4.4,22,47,0,2
47,,,0,2,1,0,0,4,2,,4.4,25,47,0,2
41,,,1,1,,,,,2,,1.3,29,140,1,2
132,,,1,1,,,0,4,2,0,1.3,27,65,1,2
132,1,1,1,1,2,4,1,4,2,0,1.3,26,14,1,2
132,1,1,1,3,2,6,0,4,2,0,1.3,25,14,1,2
132,1,1,1,3,5,6,0,4,2,0,1.3,24,14,1,2
132,1,1,0,2,1,4,0,4,2,,1.3,37,14,0,1
132,0,0,0,1,1,4,0,4,2,,1.3,25,48,1,2
132,1,1,1,3,,,,4,2,,1.3,,48,1,2
3,,,1,1,1,4,0,4,2,,1.3,21,47,0,1
47,,,0,2,1,4,0,4,2,,4.4,24,47,0,2
47,,,0,2,1,4,0,4,2,0,4.4,25,47,0,2
47,1,1,0,2,1,4,0,4,2,0,4.4,30,47,1,2
3,1,1,1,3,1,4,0,4,2,3,1.3,32,136,1,2
3,0,0,1,1,,,0,4,2,,1.3,,47,1,2
3,0,1,0,3,5,6,1,4,2,0,1.3,26,47,1,2
132,1,1,0,1,1,4,0,4,2,1,1.3,27,47,1,2
47,0,0,1,2,5,6,0,4,2,0,4.4,28,47,1,2
136,0,0,0,2,3,1,0,4,2,1,4.2,25,47,0,2
47,0,0,1,1,1,1,0,4,1,1,4.4,21,47,1,2
47,0,0,1,1,1,1,0,4,1,1,4.4,24,47,1,1
