pob,kids,married,fses,ynatstat,edarea,edachv,occ,school,relback,socbg,region,agejoin,cjoin,pljoin,risk
60.0,,,1,1.0,4.0,6,3,0.0,0.0,0.0,3.4,28.0,1.0,1.0,2.0
81.0,,,1,1.0,4.0,2,3,4.0,2.0,0.0,3.4,,,,2.0
60.0,,,1,1.0,4.0,4,3,4.0,1.0,0.0,3.4,29.0,1.0,1.0,3.0
60.0,1,1,1,1.0,2.0,6,3,2.0,1.0,0.0,3.4,28.0,1.0,1.0,2.0
60.0,,,1,1.0,1.0,4,0,2.0,0.0,0.0,3.4,18.0,60.0,0.0,2.0
114.0,,,0,2.0,1.0,4,0,4.0,1.0,0.0,3.4,26.0,114.0,0.0,2.0
114.0,,,1,1.0,5.0,3,1,4.0,2.0,0.0,3.4,,114.0,0.0,2.0
136.0,0,1,1,1.0,,,0,,2.0,0.0,4.2,45.0,8.0,1.0,2.0
8.0,1,1,1,1.0,1.0,4,0,4.0,2.0,0.0,5.1,27.0,8.0,0.0,2.0
60.0,,,1,1.0,4.0,6,1,4.0,1.0,0.0,3.4,31.0,119.0,1.0,2.0
3.0,,1,1,1.0,,,,4.0,1.0,,1.3,30.0,3.0,0.0,2.0
86.0,,,1,1.0,4.0,6,3,4.0,1.0,3.0,1.3,29.0,1.0,1.0,2.0
86.0,,1,1,1.0,4.0,6,3,4.0,1.0,3.0,1.3,31.0,1.0,1.0,2.0
86.0,,,1,3.0,,,,4.0,1.0,,1.3,26.0,47.0,1.0,2.0
3.0,,,1,3.0,,,,4.0,1.0,,1.3,25.0,47.0,1.0,1.0
86.0,,,1,3.0,2.0,4,,4.0,1.0,,1.3,22.0,48.0,1.0,1.0
47.0,,,2,2.0,1.0,4,0,4.0,1.0,1.0,4.4,19.0,47.0,0.0,1.0
47.0,,,2,2.0,1.0,4,0,4.0,1.0,1.0,4.4,19.0,47.0,0.0,1.0
86.0,,,1,3.0,4.0,6,1,4.0,1.0,0.0,1.3,31.0,47.0,1.0,1.0
86.0,,,1,3.0,4.0,6,1,4.0,1.0,0.0,1.3,23.0,47.0,1.0,1.0
86.0,,,1,3.0,4.0,6,1,4.0,1.0,0.0,1.3,22.0,47.0,1.0,1.0
47.0,,1,1,2.0,,,,4.0,1.0,0.0,4.4,24.0,47.0,0.0,1.0
47.0,1,1,1,2.0,4.0,4,1,4.0,1.0,0.0,4.4,23.0,47.0,0.0,1.0
47.0,0,0,1,2.0,1.0,4,0,4.0,1.0,0.0,4.4,20.0,47.0,0.0,1.0
86.0,,,1,3.0,4.0,6,,4.0,1.0,0.0,1.3,21.0,47.0,1.0,1.0
86.0,,,2,3.0,1.0,4,0,4.0,1.0,0.0,1.3,21.0,47.0,1.0,1.0
86.0,,,1,3.0,1.0,1,0,4.0,2.0,0.0,1.3,21.0,86.0,0.0,1.0
47.0,,1,0,3.0,1.0,1,0,4.0,2.0,0.0,4.4,26.0,47.0,1.0,1.0
3.0,,,0,3.0,1.0,1,0,4.0,2.0,0.0,1.3,26.0,3.0,1.0,1.0
3.0,,,,1.0,,,,4.0,2.0,,1.3,23.0,3.0,,2.0
3.0,,1,1,1.0,5.0,4,3,4.0,0.0,,1.3,25.0,3.0,1.0,2.0
3.0,,,1,1.0,2.0,4,1,4.0,2.0,,1.3,25.0,3.0,0.0,2.0
47.0,,,1,2.0,2.0,2,1,4.0,2.0,0.0,4.4,24.0,47.0,0.0,2.0
3.0,,1,1,1.0,1.0,1,,4.0,2.0,1.0,1.3,23.0,3.0,0.0,2.0
47.0,0,1,0,2.0,1.0,1,0,4.0,2.0,0.0,4.4,27.0,47.0,0.0,2.0
47.0,1,1,0,2.0,1.0,1,0,4.0,2.0,0.0,4.4,35.0,47.0,0.0,2.0
47.0,,,0,2.0,,,,4.0,2.0,,4.4,21.0,47.0,0.0,2.0
47.0,0,0,1,1.0,5.0,4,1,4.0,1.0,0.0,4.4,23.0,47.0,0.0,2.0
47.0,0,0,0,2.0,1.0,0,0,4.0,1.0,1.0,4.4,28.0,47.0,0.0,2.0
3.0,0,1,0,3.0,1.0,1,0,4.0,2.0,1.0,1.3,22.0,3.0,1.0,2.0
47.0,,,0,2.0,5.0,2,0,4.0,2.0,1.0,4.4,22.0,47.0,0.0,2.0
47.0,,,0,2.0,1.0,0,0,4.0,2.0,1.0,4.4,23.0,47.0,0.0,2.0
47.0,,,0,2.0,1.0,0,0,4.0,2.0,1.0,4.4,23.0,47.0,0.0,2.0
47.0,,,0,2.0,1.0,0,0,4.0,2.0,0.0,4.4,23.0,47.0,0.0,2.0
3.0,,,0,3.0,,,,4.0,2.0,,1.3,28.0,3.0,1.0,2.0
47.0,,,0,2.0,,,,4.0,2.0,,4.4,29.0,47.0,0.0,1.0
3.0,1,1,1,1.0,2.0,4,3,4.0,2.0,0.0,1.3,32.0,3.0,0.0,2.0
47.0,1,1,0,1.0,5.0,6,3,4.0,1.0,0.0,4.4,25.0,47.0,1.0,2.0
47.0,0,1,0,1.0,2.0,2,0,4.0,1.0,0.0,4.4,23.0,47.0,1.0,2.0
47.0,1,1,0,2.0,1.0,1,0,4.0,0.0,0.0,4.4,24.0,47.0,0.0,2.0
47.0,1,1,0,2.0,1.0,1,0,4.0,2.0,1.0,4.4,26.0,47.0,0.0,2.0
47.0,,,0,2.0,1.0,1,0,4.0,2.0,0.0,4.4,27.0,47.0,0.0,2.0
47.0,0,1,0,2.0,5.0,2,0,4.0,2.0,0.0,4.4,24.0,16.0,1.0,1.0
47.0,1,1,0,2.0,1.0,0,0,4.0,2.0,0.0,4.4,29.0,47.0,0.0,2.0
47.0,0,1,0,2.0,1.0,0,0,4.0,2.0,0.0,4.4,18.0,47.0,0.0,1.0
47.0,,,0,2.0,1.0,1,0,4.0,2.0,0.0,4.4,25.0,47.0,0.0,2.0
47.0,0,0,0,2.0,1.0,1,0,4.0,2.0,0.0,4.4,24.0,47.0,0.0,2.0
3.0,1,1,1,1.0,5.0,2,1,4.0,2.0,0.0,1.3,31.0,1.0,1.0,2.0
86.0,1,1,0,1.0,5.0,4,1,4.0,2.0,0.0,1.3,30.0,24.0,1.0,2.0
86.0,1,1,1,1.0,5.0,4,1,4.0,2.0,0.0,1.3,27.0,24.0,1.0,2.0
